,gospodarz,gosc,predykcja
338,CharlotteHornets,SanAntonioSpurs,206
339,IndianaPacers,SanAntonioSpurs,198.999999999998
340,DenverNuggets,SanAntonioSpurs,199.000000000001
341,NewYorkKnicks,SanAntonioSpurs,180.999999999999
342,SanAntonioSpurs,SanAntonioSpurs,218.642857142855
343,DallasMavericks,SanAntonioSpurs,191.249999999999
344,LosAngelesClippers,SanAntonioSpurs,199.999999999999
345,MinnesotaTimberwolves,SanAntonioSpurs,196.749999999999
346,MemphisGrizzlies,SanAntonioSpurs,194.11111111111
347,AtlantaHawks,SanAntonioSpurs,203.499999999997
348,BrooklynNets,SanAntonioSpurs,191.499999999999
349,GoldenStateWarriors,SanAntonioSpurs,217.333333333333
350,LosAngelesLakers,SanAntonioSpurs,218.749999999999
351,PortlandTrailBlazers,SanAntonioSpurs,203.666666666666
352,MiamiHeat,SanAntonioSpurs,213.999999999999
353,OklahomaCityThunder,SanAntonioSpurs,202.5
354,TorontoRaptors,SanAntonioSpurs,202.499999999999
355,PhoenixSuns,SanAntonioSpurs,211.749999999999
356,SacramentoKings,SanAntonioSpurs,201.249999999999
357,HoustonRockets,SanAntonioSpurs,194.499999999999
358,MilwaukeeBucks,SanAntonioSpurs,206.999999999998
359,OrlandoMagic,SanAntonioSpurs,193.666666666666
360,BostonCeltics,SanAntonioSpurs,198.666666666668
361,DetroitPistons,DallasMavericks,188
362,ClevelandCavaliers,DallasMavericks,207.5
363,NewOrleansPelicans,DallasMavericks,217.499999999999
364,WashingtonWizards,DallasMavericks,216.999999999998
365,PhiladelphiaErs,DallasMavericks,183.999999999999
366,ChicagoBulls,DallasMavericks,178.499999999998
367,UtahJazz,DallasMavericks,191.749999999999
368,CharlotteHornets,DallasMavericks,193.5
369,IndianaPacers,DallasMavericks,219.499999999998
370,DenverNuggets,DallasMavericks,209.000000000001
371,NewYorkKnicks,DallasMavericks,185.499999999999
372,SanAntonioSpurs,DallasMavericks,189.749999999999
373,DallasMavericks,DallasMavericks,216.142857142856
374,LosAngelesClippers,DallasMavericks,197.799999999999
375,MinnesotaTimberwolves,DallasMavericks,186.199999999999
376,MemphisGrizzlies,DallasMavericks,199.799999999999
377,AtlantaHawks,DallasMavericks,201.999999999998
378,BrooklynNets,DallasMavericks,225.999999999999
379,GoldenStateWarriors,DallasMavericks,224.999999999999
380,LosAngelesLakers,DallasMavericks,193.499999999999
381,PortlandTrailBlazers,DallasMavericks,210.499999999999
382,MiamiHeat,DallasMavericks,190.999999999999
383,OklahomaCityThunder,DallasMavericks,200.666666666665
384,TorontoRaptors,DallasMavericks,189.999999999999
385,PhoenixSuns,DallasMavericks,220.666666666667
386,SacramentoKings,DallasMavericks,212.999999999999
387,HoustonRockets,DallasMavericks,201.199999999998
388,MilwaukeeBucks,DallasMavericks,202.499999999998
389,OrlandoMagic,DallasMavericks,197.999999999999
390,BostonCeltics,DallasMavericks,190.500000000001
391,DetroitPistons,LosAngelesClippers,206.500000000001
392,ClevelandCavaliers,LosAngelesClippers,212
393,NewOrleansPelicans,LosAngelesClippers,204.399999999999
394,WashingtonWizards,LosAngelesClippers,212.999999999999
395,PhiladelphiaErs,LosAngelesClippers,210.5
396,ChicagoBulls,LosAngelesClippers,177.499999999998
397,UtahJazz,LosAngelesClippers,200.999999999999
398,CharlotteHornets,LosAngelesClippers,224
399,IndianaPacers,LosAngelesClippers,170.499999999998
400,DenverNuggets,LosAngelesClippers,223.000000000001
401,NewYorkKnicks,LosAngelesClippers,218.999999999999
402,SanAntonioSpurs,LosAngelesClippers,207.399999999999
403,DallasMavericks,LosAngelesClippers,211.249999999999
404,LosAngelesClippers,LosAngelesClippers,201.642857142856
405,MinnesotaTimberwolves,LosAngelesClippers,203.999999999999
