"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty","total","win_gosp","gosp_gosp","gosp_past_points","win_gosc","gosc_gosp","gosc_past_points","gosp_past_add","gosc_past_add","gosp_past_total","gosp_past_add.1"
"272","LosAngelesClippers","OrlandoMagic",114,86,0,2014-12-03,200,1,1,127,0,0,97,0,0,228,0
"273","NewYorkKnicks","ClevelandCavaliers",87,90,0,2014-12-04,177,0,1,93,1,1,111,0,0,191,0
"274","PortlandTrailBlazers","IndianaPacers",88,82,0,2014-12-04,170,1,0,105,0,0,99,0,0,208,0
"275","GoldenStateWarriors","NewOrleansPelicans",112,85,0,2014-12-04,197,1,1,98,1,1,112,0,0,195,0
"276","CharlotteHornets","NewYorkKnicks",103,102,0,2014-12-05,205,0,1,95,0,1,87,0,0,197,0
"277","PhiladelphiaErs","OklahomaCityThunder",91,103,0,2014-12-05,194,1,0,85,0,0,104,0,0,162,0
"278","WashingtonWizards","DenverNuggets",119,89,0,2014-12-05,208,1,1,111,0,1,103,0,0,206,0
"279","BostonCeltics","LosAngelesLakers",113,96,0,2014-12-05,209,1,1,109,0,0,95,1,0,211,1
"280","BrooklynNets","AtlantaHawks",75,98,0,2014-12-05,173,1,1,95,1,0,112,1,0,188,1
"281","TorontoRaptors","ClevelandCavaliers",91,105,0,2014-12-05,196,1,0,123,1,0,90,0,0,227,0
"282","MemphisGrizzlies","SanAntonioSpurs",101,107,0,2014-12-05,208,0,0,96,0,0,93,0,1,201,0
"283","MinnesotaTimberwolves","HoustonRockets",112,114,1,2014-12-05,226,0,1,77,1,1,105,0,0,162,0
"284","DallasMavericks","PhoenixSuns",106,118,0,2014-12-05,224,1,0,107,1,1,116,0,0,212,0
"285","MilwaukeeBucks","MiamiHeat",109,85,0,2014-12-05,194,0,1,105,0,1,102,0,0,212,0
"286","UtahJazz","OrlandoMagic",93,98,0,2014-12-05,191,0,1,104,0,0,86,0,0,227,0
"287","SacramentoKings","IndianaPacers",102,101,1,2014-12-05,203,0,1,109,0,0,82,0,0,226,0
"288","DetroitPistons","PhiladelphiaErs",101,108,1,2014-12-06,209,0,0,102,0,1,91,1,0,211,1
"289","ChicagoBulls","GoldenStateWarriors",102,112,0,2014-12-06,214,1,0,102,1,1,112,0,0,197,0
"290","HoustonRockets","PhoenixSuns",100,95,0,2014-12-06,195,1,0,114,1,0,118,1,0,226,1
"291","SanAntonioSpurs","MinnesotaTimberwolves",123,101,0,2014-12-06,224,1,0,107,0,1,112,0,1,208,0
"292","SacramentoKings","OrlandoMagic",96,105,0,2014-12-06,201,1,1,102,1,0,98,1,0,203,1
"293","LosAngelesClippers","NewOrleansPelicans",120,100,0,2014-12-06,220,1,1,114,0,0,85,0,0,200,0
"294","BostonCeltics","WashingtonWizards",101,93,0,2014-12-07,194,1,1,113,1,1,119,0,0,209,0
"295","AtlantaHawks","DenverNuggets",96,84,0,2014-12-07,180,1,0,98,0,0,89,0,0,173,0
"296","MemphisGrizzlies","MiamiHeat",103,87,0,2014-12-07,190,0,1,101,0,0,85,0,0,208,0
"297","DetroitPistons","OklahomaCityThunder",94,96,0,2014-12-07,190,0,1,101,1,0,103,1,0,209,1
"298","DallasMavericks","MilwaukeeBucks",125,102,0,2014-12-07,227,0,1,106,1,1,109,0,0,224,0
"299","NewYorkKnicks","PortlandTrailBlazers",99,103,0,2014-12-07,202,0,0,102,1,1,88,0,0,205,0
"300","LosAngelesLakers","NewOrleansPelicans",87,104,0,2014-12-07,191,0,0,96,0,0,100,0,0,209,0
"301","IndianaPacers","AtlantaHawks",92,108,0,2014-12-08,200,0,0,101,1,1,96,1,0,203,1
"302","WashingtonWizards","BostonCeltics",133,132,2,2014-12-08,265,0,0,93,1,1,101,0,0,194,0
"303","BrooklynNets","ClevelandCavaliers",88,110,0,2014-12-08,198,0,1,75,1,0,105,0,0,173,0
"304","TorontoRaptors","DenverNuggets",112,107,1,2014-12-08,219,0,1,91,0,0,84,0,0,196,0
"305","MinnesotaTimberwolves","GoldenStateWarriors",86,102,0,2014-12-08,188,0,0,101,1,0,112,0,0,224,0
"306","SacramentoKings","UtahJazz",101,92,0,2014-12-08,193,0,1,96,0,1,93,0,0,201,0
"307","LosAngelesClippers","PhoenixSuns",121,120,1,2014-12-08,241,1,1,120,0,0,95,0,0,220,0
"308","ClevelandCavaliers","TorontoRaptors",105,101,0,2014-12-09,206,1,0,110,1,1,112,0,1,198,0
"309","DetroitPistons","PortlandTrailBlazers",86,98,0,2014-12-09,184,0,1,94,1,0,103,0,0,190,0
"310","MemphisGrizzlies","DallasMavericks",114,105,0,2014-12-09,219,1,1,103,1,1,125,0,0,190,0
"311","NewOrleansPelicans","NewYorkKnicks",104,93,0,2014-12-09,197,1,0,104,0,1,99,0,0,191,0
"312","OklahomaCityThunder","MilwaukeeBucks",114,101,0,2014-12-09,215,1,0,96,0,0,102,0,0,190,0
"313","PhoenixSuns","MiamiHeat",97,103,0,2014-12-09,200,0,0,120,0,0,87,1,0,241,1
"314","UtahJazz","SanAntonioSpurs",100,96,0,2014-12-09,196,0,0,92,1,1,123,0,0,193,0
"315","LosAngelesLakers","SacramentoKings",98,95,0,2014-12-09,193,0,1,87,1,1,101,0,0,191,0
"316","CharlotteHornets","BostonCeltics",96,87,0,2014-12-10,183,1,1,103,0,0,132,0,2,205,0
"317","IndianaPacers","LosAngelesClippers",96,103,0,2014-12-10,199,0,1,92,1,1,121,0,1,200,0
"318","OrlandoMagic","WashingtonWizards",89,91,0,2014-12-10,180,1,0,105,1,1,133,0,2,201,0
"319","AtlantaHawks","PhiladelphiaErs",95,79,0,2014-12-10,174,1,0,108,1,0,108,0,1,200,0
"320","ChicagoBulls","BrooklynNets",105,80,0,2014-12-10,185,0,1,102,0,1,88,0,0,214,0
"321","MinnesotaTimberwolves","PortlandTrailBlazers",90,82,0,2014-12-10,172,0,1,86,1,0,98,0,0,188,0
"322","SanAntonioSpurs","NewYorkKnicks",109,95,0,2014-12-10,204,0,0,96,0,0,93,0,0,196,0
"323","DallasMavericks","NewOrleansPelicans",112,107,0,2014-12-10,219,0,0,105,1,1,104,0,0,219,0
"324","GoldenStateWarriors","HoustonRockets",105,93,0,2014-12-10,198,1,0,102,1,1,100,0,0,188,0
"325","DenverNuggets","MiamiHeat",102,82,0,2014-12-10,184,0,0,107,1,0,103,1,0,219,1
"326","OklahomaCityThunder","ClevelandCavaliers",103,94,0,2014-12-11,197,1,1,114,1,1,105,0,0,215,0
"327","SacramentoKings","HoustonRockets",109,113,1,2014-12-11,222,0,0,95,0,0,93,0,0,193,0
"328","MemphisGrizzlies","CharlotteHornets",113,107,2,2014-12-12,220,1,1,114,1,1,96,0,0,219,0
